date,killed,wounded,city,state
2022-04-27 00:00:00+00:00,0,5,San Antonio,TX
2022-04-27 00:00:00+00:00,0,4,Chicago,IL
2022-04-27 00:00:00+00:00,2,3,Opelousas,LA
2022-04-27 00:00:00+00:00,0,4,Phoenix,AZ
2022-04-27 00:00:00+00:00,4,0,Biloxi,MS
2022-04-26 00:00:00+00:00,3,1,Rock Hill,SC
2022-04-25 00:00:00+00:00,1,3,Birmingham,AL
2022-04-24 00:00:00+00:00,1,3,Myrtle Beach,SC
2022-04-24 00:00:00+00:00,2,4,Lafayette,IN
2022-04-23 00:00:00+00:00,1,4,San Bernardino,CA
2022-04-23 00:00:00+00:00,0,5,Atlanta,GA
2022-04-23 00:00:00+00:00,2,2,Chicago ,IL
2022-04-23 00:00:00+00:00,0,4,Rocky Mount,NC
2022-04-22 00:00:00+00:00,0,4,Cincinnati,OH
2022-04-22 00:00:00+00:00,1,5,Petersburg,VA
2022-04-22 00:00:00+00:00,1,4,Washington,DC
2022-04-21 00:00:00+00:00,4,0,Stone Co. (Mountain View),AR
2022-04-20 00:00:00+00:00,5,0,Duluth,MN
2022-04-18 00:00:00+00:00,4,0,Mocksville,NC
2022-04-17 00:00:00+00:00,0,5,Baldwin,LA
2022-04-17 00:00:00+00:00,1,3,Portland,OR
2022-04-17 00:00:00+00:00,1,3,Miami,FL
2022-04-17 00:00:00+00:00,0,4,Philadelphia,PA
2022-04-17 00:00:00+00:00,1,3,Sacramento,CA
2022-04-17 00:00:00+00:00,0,4,Paw Paw,MI
2022-04-17 00:00:00+00:00,0,9,Furman,SC
2022-04-17 00:00:00+00:00,2,9,Pittsburgh,PA
2022-04-16 00:00:00+00:00,1,6,Morris Co. (Cason),TX
2022-04-16 00:00:00+00:00,0,4,North Las Vegas,NV
2022-04-16 00:00:00+00:00,1,3,Baltimore,MD
2022-04-16 00:00:00+00:00,0,9,Columbia,SC
2022-04-16 00:00:00+00:00,1,4,Syracuse,NY
2022-04-15 00:00:00+00:00,2,2,Stockton,CA
2022-04-15 00:00:00+00:00,1,3,Cowley Co.,KS
2022-04-12 00:00:00+00:00,1,3,Bronx,NY
2022-04-12 00:00:00+00:00,0,10,Brooklyn,NY
2022-04-10 00:00:00+00:00,2,5,Willowbrook,CA
2022-04-10 00:00:00+00:00,0,4,Baton Rouge,LA
2022-04-10 00:00:00+00:00,2,4,Elgin,IL
2022-04-10 00:00:00+00:00,1,5,Indianapolis,IN
2022-04-10 00:00:00+00:00,2,10,Cedar Rapids,IA
2022-04-09 00:00:00+00:00,0,4,Miami,FL
2022-04-09 00:00:00+00:00,0,4,Washington,DC
2022-04-08 00:00:00+00:00,1,4,Houston,TX
2022-04-07 00:00:00+00:00,4,0,Latimer,MS
2022-04-06 00:00:00+00:00,1,4,Philadelphia,PA
2022-04-04 00:00:00+00:00,0,4,Covington,KY
2022-04-04 00:00:00+00:00,1,3,Hartford,CT
2022-04-03 00:00:00+00:00,2,2,San Francisco,CA
2022-04-03 00:00:00+00:00,0,4,Buffalo,NY
2022-04-03 00:00:00+00:00,6,12,Sacramento,CA
2022-04-02 00:00:00+00:00,1,16,Dallas,TX
2022-04-02 00:00:00+00:00,0,4,Colorado Springs,CO
2022-04-02 00:00:00+00:00,1,3,Shelby,NC
2022-04-02 00:00:00+00:00,1,4,Monroe,LA
2022-04-02 00:00:00+00:00,1,3,Shreveport,LA
2022-04-01 00:00:00+00:00,0,5,Walterboro,SC
2022-03-31 00:00:00+00:00,2,2,Lebanon,PA
2022-03-29 00:00:00+00:00,0,4,Buffalo,NY
2022-03-28 00:00:00+00:00,0,4,Portland,OR
2022-03-27 00:00:00+00:00,2,2,New Orleans,LA
2022-03-26 00:00:00+00:00,0,4,Cleveland,OH
2022-03-26 00:00:00+00:00,2,3,Hollister,CA
2022-03-26 00:00:00+00:00,0,4,Virginia Beach,VA
2022-03-25 00:00:00+00:00,2,2,Colorado Springs,CO
2022-03-23 00:00:00+00:00,0,4,Williamson,NY
2022-03-23 00:00:00+00:00,0,4,Glendale,AZ
2022-03-22 00:00:00+00:00,1,3,Stockton,CA
2022-03-21 00:00:00+00:00,2,2,Chicago ,IL
2022-03-21 00:00:00+00:00,0,4,Waterbury,CT
2022-03-20 00:00:00+00:00,0,4,Milwaukee,WI
2022-03-20 00:00:00+00:00,1,3,Houston,TX
2022-03-20 00:00:00+00:00,0,4,Austin,TX
2022-03-19 00:00:00+00:00,1,9,Dallas,TX
2022-03-19 00:00:00+00:00,3,3,Fayetteville,NC
2022-03-19 00:00:00+00:00,1,27,Dumas,AR
2022-03-19 00:00:00+00:00,1,4,Madison Heights,VA
2022-03-19 00:00:00+00:00,3,2,Norfolk,VA
2022-03-18 00:00:00+00:00,0,5,New Iberia,LA
2022-03-18 00:00:00+00:00,1,3,Fort Worth,TX
2022-03-17 00:00:00+00:00,0,4,Lansing,MI
2022-03-17 00:00:00+00:00,0,4,Chicago ,IL
2022-03-17 00:00:00+00:00,2,2,Fort Lauderdale,FL
2022-03-16 00:00:00+00:00,1,3,Irvington,NJ
2022-03-15 00:00:00+00:00,0,5,Ozark,AL
2022-03-15 00:00:00+00:00,1,3,Waianae ,HI
2022-03-14 00:00:00+00:00,1,3,Reading,PA
2022-03-14 00:00:00+00:00,1,3,Autaugaville,AL
2022-03-14 00:00:00+00:00,2,4,Albuquerque,NM
2022-03-13 00:00:00+00:00,1,4,Columbia,SC
2022-03-13 00:00:00+00:00,0,7,Chicago ,IL
2022-03-13 00:00:00+00:00,2,2,Rochester,NY
2022-03-12 00:00:00+00:00,3,1,Baltimore,MD
2022-03-11 00:00:00+00:00,2,2,Columbus,OH
2022-03-10 00:00:00+00:00,1,3,Long Beach,CA
