"STATISTIC CODE","STATISTIC","TLIST(A1)","Year","C02199V02655","Sex","C02677V03567","Countries","UNIT","VALUE"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","AT","Austria","Number","82"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","BE","Belgium","Number","82.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","BG","Bulgaria","Number","75.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","HR","Croatia","Number","78.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","CY","Cyprus","Number","82.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","CZ","Czech Republic","Number","79.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","DK","Denmark","Number","81.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","EE","Estonia","Number","79"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","ZZEUBQ","EU27","Number","81.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","FI","Finland","Number","82.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","FR","France","Number","83"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","DE","Germany","Number","81.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","GR","Greece","Number","81.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","HU","Hungary","Number","76.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","IS","Iceland","Number","83.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","IE","Ireland","Number","82.8"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","IT","Italy","Number","83.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","LV","Latvia","Number","75.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","LI","Liechtenstein","Number","84.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","LT","Lithuania","Number","76.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","LU","Luxembourg","Number","82.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","MK","Macedonia","Number","76.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","MT","Malta","Number","82.9"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","ME","Montenegro","Number","76.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","NL","Netherlands","Number","82.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","NO","Norway","Number","83"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","PL","Poland","Number","78"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","PT","Portugal","Number","81.9"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","RO","Romania","Number","75.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","RS","Serbia","Number","76"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","SK","Slovakia","Number","77.8"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","SI","Slovenia","Number","81.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","ES","Spain","Number","84"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","SE","Sweden","Number","83.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","CH","Switzerland","Number","84"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","TR","Turkey","Number","79.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","GB","United Kingdom","Number",":"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","AL","Albania","Number","77.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","AT","Austria","Number","79.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","BE","Belgium","Number","79.8"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","BG","Bulgaria","Number","71.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","HR","Croatia","Number","75.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","CY","Cyprus","Number","80.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","CZ","Czech Republic","Number","76.4"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","DK","Denmark","Number","79.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","EE","Estonia","Number","74.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","ZZEUBQ","EU27","Number","78.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","FI","Finland","Number","79.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","FR","France","Number","79.9"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","DE","Germany","Number","79"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","GR","Greece","Number","79.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","HU","Hungary","Number","73.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","IS","Iceland","Number","81.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","IE","Ireland","Number","80.8"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","IT","Italy","Number","81.4"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","LV","Latvia","Number","70.9"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","LI","Liechtenstein","Number","82.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","LT","Lithuania","Number","71.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","LU","Luxembourg","Number","80.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","MK","Macedonia","Number","74.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","MT","Malta","Number","81.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","ME","Montenegro","Number","74"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","NL","Netherlands","Number","80.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","NO","Norway","Number","81.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","PL","Poland","Number","74.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","PT","Portugal","Number","78.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","RO","Romania","Number","71.9"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","RS","Serbia","Number","73.4"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","SK","Slovakia","Number","74.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","SI","Slovenia","Number","78.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","ES","Spain","Number","81.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","SE","Sweden","Number","81.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","CH","Switzerland","Number","82.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","TR","Turkey","Number","76.4"
"MIP12","Life expectancy at birth (Years)","2019","2019","1","Male","GB","United Kingdom","Number",":"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","AL","Albania","Number","80.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","AT","Austria","Number","84.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","BE","Belgium","Number","84.3"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","BG","Bulgaria","Number","78.8"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","HR","Croatia","Number","81.6"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","CY","Cyprus","Number","84.4"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","CZ","Czech Republic","Number","82.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","DK","Denmark","Number","83.5"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","EE","Estonia","Number","83"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","ZZEUBQ","EU27","Number","84"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","FI","Finland","Number","84.8"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","FR","France","Number","85.9"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","DE","Germany","Number","83.7"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","GR","Greece","Number","84.2"
"MIP12","Life expectancy at birth (Years)","2019","2019","2","Female","HU","Hungary","Number","79.7"
